Date,FEDFUNDS,GDP,CPIAUCSL,CUSR0000SAH1,CPILFESL,PCE,PRFI,PNFI,EXPGS,HOUST,DSPI,DGS2,DGS5,DGS10,AAA,BAA,WTISPLC,IMPGS,GCE,FGCE,GDPCTPI,PCEPI,PCEPILFE,PAYEMS,UNRATE,INDPRO,CUMFNS,M1,M1V,M2,VIXCLS,BAMLH0A0HYM2,BAA10Y,BAMLC0A4CBBBEY,BAMLC0A1CAAAEY,T10YIE,T5YIE,DGS3MO,DGS30,BAA10YM,MORTGAGE30US,RSXFS,TCU,UMCSENT,NETEXP,PI,PPIACO,M1REAL,M2REAL
2003-02-28,0.01432418495387644,1.7090434791811049e-06,0.00028287454853215266,2.133633748946373e-05,2.5666692333503605e-05,1.2806642291085524e-06,-5.878461057662321e-05,7.241442542316179e-05,-1.0337414800498657e-05,-0.0007375536990128495,9.781321819168909e-07,-0.0958066923495835,-0.08610837129929716,-0.052881108679795785,-0.022355110937237965,-0.023127656689874154,0.019391673281675903,-1.6478062242364366e-05,2.1410646888986307e-05,0.00025607799720295255,7.995762854950961e-05,0.0004809759418489268,0.00015624214449228013,-8.04247707320016e-08,0.010843634786380507,0.0001231081777031129,-0.00012419101448268854,9.226729040934245e-05,-0.002750121899402047,1.0257429551074893e-05,-0.012466939336439942,0.0059066667891753966,0.01197788403491784,-0.03550716061072312,-0.051065287794078595,0.06015343753759583,0.14850778237898044,0.0,-0.015543477697700148,-0.032237266279819266,-0.011807516020652442,-5.746832149045034e-07,0.00018758421612075082,-0.0033748393576465974,0.00010473557949985945,7.055650570464422e-07,0.0011517114432044728,5.000160439938561e-05,2.2672371353671394e-06
2003-03-31,-0.007054673721340388,3.949392678892494e-06,8.426956823637255e-05,-2.1335882259831962e-05,0.0,1.0933111538102835e-05,0.00010939998711223531,6.35898688381431e-05,9.120436562648493e-06,0.000343005377758443,5.618985889910277e-06,-0.01135698994338552,0.02617938111943041,0.023387573013079477,-0.006346150795119909,-0.009192174952158738,-0.014851436028239462,-3.6567580016244605e-06,1.9051531153779777e-05,0.00016501493790777033,0.00014119187835914815,0.00029260539052500256,0.0001817719925316652,-1.2419686135078933e-07,0.0,-0.00027114840217556946,0.00012404548965672113,1.1627915765366481e-05,-0.0024206326392758326,6.4217595159288265e-06,-0.00413787931099141,-0.044446359977803884,-0.040613114691435914,0.0022753956913106332,0.007076990580525466,-0.06115673597763405,-0.04904966278356837,-0.030146587783095313,0.0013253705073255073,-0.004816677263356661,0.01302664274106613,6.571178212677609e-07,-0.00027623620322336784,-0.0032860710591436915,6.688012557165557e-05,4.328713597345768e-06,0.0017303433001107926,-1.0840762724839692e-05,5.997295852822049e-06
2003-04-30,0.007104795737122638,5.299063938535298e-06,-0.00019701948916783785,2.133633748946373e-05,0.0,3.95283329779339e-06,0.0002323920481470676,5.0074976024161444e-05,3.3162637291139774e-05,-0.0002909138831816982,4.248210780932737e-06,0.0,0.019595218766620848,0.011278471090458986,-0.016179728741454347,-0.00853916273509403,-0.04130017630499805,1.1088917980517365e-05,1.536354726439093e-05,8.051080238136166e-05,0.00017671962994669776,-0.0001938848163428597,0.00012518461287824856,-3.302980677855061e-08,0.010593220338983134,-0.0006231337200707232,-0.0008808427250216466,5.891174900263252e-05,-0.0016161228210188616,1.0232676036503463e-05,-0.08727466182442511,-0.10085347251112531,-0.07218280811747235,-0.04296191020264073,-0.014094730684933388,-0.033153357961542174,-0.10586211459573913,0.0,0.013139931067921662,-0.061767132967342486,-0.01285913142996753,-8.705569953804115e-08,-0.0006855100408720283,0.01127577319587636,2.9704949336295527e-05,2.585099404095459e-06,-0.0021227161503962755,0.00018004849606256812,3.16669022046856e-05
2003-05-31,0.0,6.389270363893473e-06,-8.489137299905192e-05,0.00021230448879627772,0.00010241114233244808,2.7016601027440856e-06,0.0003172119521239747,4.4965611979863596e-05,6.298622741329751e-05,0.00037327322251967665,7.401554414698808e-06,-0.10521209003816845,-0.15689630580516323,-0.09998211858263806,-0.059521901770547725,-0.04188836305624599,-0.001020924307743587,2.640582095558841e-05,1.4328593365364739e-05,3.727520318275168e-05,0.00021060759458113587,-0.00013108094303726503,0.00016220907249842043,1.1799621502106561e-08,0.010351966873705987,-3.425380827792868e-05,6.931557073741601e-05,0.00011032883716777242,-0.0008120942452052304,1.7910229452411386e-05,-0.02783738551275272,0.03236916383975963,0.02537641684994063,-0.06290874636990851,-0.07020396098137738,-0.0647797488538967,-0.11637165431493823,-0.047045908966165895,-0.04886501106726471,-0.02160941522221238,-0.05414863122413138,2.3095982459864217e-08,6.665729985533275e-06,0.006947133453294674,1.0271048042964637e-05,6.5775703641524075e-06,-4.9829185551852895e-05,0.0002374334642181175,3.63955062143706e-05
2003-06-30,-0.028294145941204718,6.503603610541475e-06,5.6628364184962976e-05,0.0,2.5537109250128864e-05,8.358658984963796e-06,0.00033376258709005846,4.1527290997267485e-05,9.154575948056021e-05,0.0003529454361570483,4.405626432335552e-06,-0.006642046813146063,0.05583083257729071,0.03725635439997532,-0.0319924651346114,-0.01839441893966831,0.022515823911595456,3.966600175520085e-05,1.3884537064301483e-05,2.3543944683623863e-05,0.00021817767492882112,0.00012374012751781294,6.303905617444094e-05,-2.359634265758359e-09,0.020114653525093118,0.0001316170030083441,0.0005708700732864891,8.197317657798742e-05,0.00014257053173682976,9.704093252294044e-06,0.0008699367938722613,-0.06026148004021081,-0.010956352630209332,0.0,0.014224172965943138,0.021477663230240474,0.13169751161017507,-0.1257903829059258,-0.02011748611893449,0.013836387485264279,-0.008650048687416811,4.196619276530811e-07,0.00019672282919125372,-0.002613704305097775,5.534962597364412e-06,4.5898265936816784e-06,0.0006425591648706597,0.00011985791271063029,1.5417377073889682e-05
2003-07-31,-0.15634073346138389,6.494215101460199e-06,0.0001691738704190371,0.00012644271133632756,0.0001018947325519548,9.598213884132178e-06,0.0003292510492620693,4.54047299356386e-05,0.00012829905169620126,8.426092913405014e-05,1.75061826555023e-05,0.3081664098613255,0.27950952155261444,0.1852046804147025,0.06754536255622834,0.041797161292329355,0.00031945125940469055,5.5013379885338054e-05,1.5909101964250993e-05,4.379967751066971e-05,0.00022716677375078653,0.0003346313601602091,0.0002814602972309732,-4.719703516897766e-09,-0.00979815794630623,0.0005111967852358124,0.0004129364031741911,3.435248104488586e-05,0.001202419274599631,1.2582910911218548e-05,-0.0005211547120723692,-0.047888183174382815,-0.06506401733531719,0.09974981667601246,0.13813200121102054,0.22209659182684538,0.17608217168011753,-0.01948406203725339,0.07296074711805045,-0.06085686465433282,0.08380664131715299,3.99913461901491e-07,0.0006300439279030012,0.0013258599030134821,1.7298894974704382e-05,4.040494954393736e-06,-0.0001471843631332126,2.613876337598242e-05,1.3605385284609639e-05
2003-08-31,0.01795283789485036,5.819223591219114e-06,0.00022390367663849275,8.390754060294547e-05,5.0792051246917325e-05,1.5593663638124866e-05,0.00028234180291675237,4.873320106812962e-05,0.00015901595403611246,-0.00018305740766122458,1.1868353161581524e-05,0.06973500697350055,0.017584427231243982,-0.006165180601259146,0.04473441521795962,0.034633972196912666,0.006487880482923591,6.829647480999235e-05,1.863036086691139e-05,8.58075874103914e-05,0.00021982857811986278,0.00038372003054498727,0.0001267129263384792,-1.8294330939028214e-08,-0.01001803245842503,-0.00021110320171047192,-0.0005233067585632689,7.54610163040681e-05,0.0021908996624380173,1.6860500071436135e-05,-0.015412222286539379,-0.023956686311149444,-0.03732875433946781,-0.004681121971313984,-0.009509319132750216,0.03162955465587047,0.11438103181222448,0.04954222979667855,0.04037421853807488,-0.024126616483304386,0.039199181356044166,6.070933280533097e-07,-0.00022537916597920038,-0.0017725841063463976,2.797022088896206e-05,5.207793723815968e-06,0.0001472060295588662,3.603376868577257e-05,1.5857080256642675e-05
2003-09-30,-0.017636217736744286,4.91521493883873e-06,0.00016668541877629117,8.360085607272971e-05,2.5357335572850914e-05,2.591237522331369e-07,0.00022551311167573473,3.773064828216377e-05,0.00016261469184830624,0.0002967095747901105,-9.646524122053357e-06,-0.2006688963210702,-0.13719889341220404,-0.07887704838865461,-0.017309722871336808,-0.0186919222857842,-0.027282172315688524,7.684891086245926e-05,2.0215842307935716e-05,0.00010705769721774949,0.00021241936519866833,0.0003538195060819316,0.00015624195584740264,5.8393333501882694e-08,0.0,0.0006394491733963115,0.0010238490152321145,-1.5918852059759736e-05,0.0023373436626483723,-6.032149200807524e-06,0.06709608158883529,0.0059042612234101455,0.03557314809424916,-0.0710331651398618,-0.08669729971256535,-0.05782218521602389,-0.05508147821739362,-0.009406275867258729,-0.020414044862865577,-0.012480031948881698,-0.03366549959601406,-1.9976407117372474e-07,0.0007684270345267308,-0.00183389286168667,-2.9857683091716325e-05,4.775907272325242e-06,0.00024398575123218968,-3.803962511661485e-05,-2.380145354596852e-05
2003-10-31,0.0,4.3493714732001365e-06,-5.543853404998966e-05,0.00014557312137886136,7.592092076902368e-05,2.2144371598642465e-06,0.00018625258891402652,1.3250263645403493e-05,0.0001540786548037687,7.304215079928511e-05,4.539686614180027e-06,0.19690576652601965,0.11105382144132014,0.065201914469186,-0.002227072290766463,-0.0052818435746812,0.017880061076185116,8.836154967140075e-05,2.236239716224553e-05,0.00011045927640340736,0.00022994053301794715,1.4453988530949147e-05,0.00020674862518266224,1.1005669131591844e-07,-0.010245901639344357,0.00013260439552453818,0.00017635185371878137,-7.68825338959278e-06,0.001741469685414776,-3.60266010546173e-06,-0.11163725648912648,-0.09610373289076324,-0.06611008273204622,0.03632303283871208,0.05198470164494462,0.15647568608570062,0.08915993509156706,-0.019043266301036033,0.002475737769855213,-0.0255193181238198,-0.004196338275221034,-2.1933815574914917e-07,0.00017381825062345868,0.002175177334194256,-0.00017440339182106523,4.106918230606382e-06,0.00038688367616868113,2.204852792808687e-05,-1.297273633293905e-06
2003-11-30,-0.00900090009000909,3.5860462741510446e-06,2.7735019622499024e-05,8.276609247004352e-05,0.0,8.844887037229299e-06,0.00014328590298462451,-1.9667770119857764e-05,0.00012191943959805052,0.0002817632843492568,8.415708412368161e-06,0.09412397472098966,0.02514136302756853,0.0016105082441917329,-0.0056050669805502995,-0.006243210508571906,0.006098247419859426,9.25301138869905e-05,2.2364996481671895e-05,8.869949886136652e-05,0.00024156345024106685,0.00014291604456029283,0.00015247114043170917,2.5262545388926583e-08,-0.021097046413502185,0.0006651631888476839,0.0010523472371102294,5.1162657272563195e-05,0.0004426559702406241,5.427628451126765e-07,0.005191715909305561,-0.03650146589887038,-0.01030970349292748,-0.0025534468340451255,0.013760363273590315,-0.03046303818034124,-0.016154305930245694,0.0097153405226853,-0.006186204763377501,-0.026526606186004553,-0.005297362125555982,4.62147943247615e-07,0.0007975807501165999,0.004412625706019968,-0.00035755709204232655,7.266837156905126e-06,-0.00019284757279625087,6.001282113921036e-06,1.1120178544654635e-06
