target,feature,rmse_improvement,pct_improvement_rmse,rmse_var_improvement
GDPCTPI,GDPCTPI_lag_1,0.008157353144759315,68.65427555218382,"GDPCTPI    68.654276
dtype: float64"
GDPCTPI,GDPCTPI_lag_2,0.006026057004802176,50.71676691680887,"GDPCTPI    50.716767
dtype: float64"
GDPCTPI,GDPCTPI_lag_5,0.005064065222831453,42.620409225002334,"GDPCTPI    42.620409
dtype: float64"
PCEPI,PCEPI_lag_2,6.097871039921661e-06,0.08131408166001834,"PCEPI    0.081314
dtype: float64"
PCEPI,PCEPI_lag_1,3.236456686235914e-07,0.0043157603949112115,"PCEPI    0.004316
dtype: float64"
PCEPI,PCEPI_lag_8,-1.2139663102606231e-05,-0.16188035961861147,"PCEPI   -0.16188
dtype: float64"
PCEPILFE,PCEPILFE_lag_10,0.0002322079324216051,2.827438840391544,"PCEPILFE    2.827439
dtype: float64"
PCEPILFE,PCEPILFE_lag_9,0.0001502511880098166,1.82950703002944,"PCEPILFE    1.829507
dtype: float64"
PCEPILFE,PCEPILFE_lag_5,-0.00014309987307161397,-1.742430307863746,"PCEPILFE   -1.74243
dtype: float64"
PAYEMS,PAYEMS_lag_1,0.0048383694120209125,3.9619342182194637,"PAYEMS    3.961934
dtype: float64"
PAYEMS,PAYEMS_lag_6,0.0022707542698864186,1.859423759723469,"PAYEMS    1.859424
dtype: float64"
PAYEMS,PAYEMS_lag_8,0.001804998570114097,1.4780362948320769,"PAYEMS    1.478036
dtype: float64"
UNRATE,UNRATE_lag_1,0.024169653864201113,1.6547259777853378,"UNRATE    1.654726
dtype: float64"
UNRATE,UNRATE_lag_5,0.008762833083752142,0.599929466270027,"UNRATE    0.599929
dtype: float64"
UNRATE,UNRATE_lag_10,3.702404144934057e-05,0.0025347753647215897,"UNRATE    0.002535
dtype: float64"
INDPRO,INDPRO_lag_3,0.0029364915053828045,2.0333116364848376,"INDPRO    2.033312
dtype: float64"
INDPRO,INDPRO_lag_6,0.0022388630628935036,1.550253528720493,"INDPRO    1.550254
dtype: float64"
INDPRO,INDPRO_lag_1,0.002019202416242677,1.3981541447807853,"INDPRO    1.398154
dtype: float64"
CUMFNS,CUMFNS_lag_2,0.01745167790757174,0.606960359675052,"CUMFNS    0.60696
dtype: float64"
CUMFNS,CUMFNS_lag_8,0.010146902424646775,0.35290403466472225,"CUMFNS    0.352904
dtype: float64"
CUMFNS,CUMFNS_lag_4,0.009782618331373616,0.3402344217227457,"CUMFNS    0.340234
dtype: float64"
USREC,USREC_lag_2,0.0,0.0,"USREC    0.0
dtype: float64"
USREC,USREC_lag_3,0.0,0.0,"USREC    0.0
dtype: float64"
USREC,USREC_lag_4,0.0,0.0,"USREC    0.0
dtype: float64"
