target,initial_mse_xgboost,initial_mse_lightgbm,final_mse_xgboost,final_mse_lightgbm,initial_aggregated_mse,final_aggregated_mse,improvement,final_feature_space
FEDFUNDS,0.007871225552125676,0.006462867402757572,0.007369381570450693,0.006462867402757572,0.014334092954883249,0.013832248973208266,0.0005018439816749827,"['UNRATE__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2']"
GDP,9.444042653769981e-05,0.0001230860502399013,0.00012544477858931284,0.00012347209572164373,0.00021752647677760113,0.0002489168743109566,-3.139039753335547e-05,"['CUMFNS__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2', 'CPIAUCSL__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4']"
CPIAUCSL,3.800471050499076e-05,3.8607107130609205e-05,3.800471050499076e-05,3.8607107130609205e-05,7.661181763559996e-05,7.661181763559996e-05,0.0,"['PCEPI__fft_coefficient__attr_""angle""__coeff_0', 'CUSR0000SAH1__large_standard_deviation__r_0.25', 'CUMFNS__large_standard_deviation__r_0.30000000000000004', 'CPILFESL__large_standard_deviation__r_0.30000000000000004', 'DGS10__longest_strike_below_mean', 'HOUST__number_peaks__n_50', 'CUMFNS__has_duplicate_min', 'BAA__sum_of_reoccurring_values', 'CPIAUCSL__large_standard_deviation__r_0.4']"
CUSR0000SAH1,4.1110799172845965e-06,4.161143215449635e-06,4.114683924704857e-06,4.161143215449635e-06,8.272223132734232e-06,8.275827140154493e-06,-3.6040074202614146e-09,"['PRFI__fft_coefficient__attr_""angle""__coeff_0', 'BAA__symmetry_looking__r_0.15000000000000002', 'IMPGS__symmetry_looking__r_0.05', 'UNRATE__large_standard_deviation__r_0.35000000000000003', 'DGS10__symmetry_looking__r_0.05']"
CPILFESL,9.764956987185286e-06,9.799230207859125e-06,9.764956987185286e-06,9.799230207859125e-06,1.956418719504441e-05,1.956418719504441e-05,0.0,"['PAYEMS__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)', 'PNFI__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)', 'DGS2__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)', 'DSPI__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)', 'DGS10__minimum', 'UNRATE__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)', 'EXPGS__symmetry_looking__r_0.1', 'GDP__symmetry_looking__r_0.05', 'DGS2__large_standard_deviation__r_0.30000000000000004', 'BAA__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)', 'CUSR0000SAH1__symmetry_looking__r_0.1', 'AAA__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)', 'INDPRO__symmetry_looking__r_0.05', 'CUSR0000SAH1__symmetry_looking__r_0.15000000000000002', 'FEDFUNDS__absolute_maximum']"
PCE,0.00034656826568915834,0.0004115392379275099,0.00034656826568915834,0.0004115392379275099,0.0007581075036166682,0.0007581075036166682,0.0,"['IMPGS__approximate_entropy__m_2__r_0.1', 'PCE__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'PCE__last_location_of_minimum', 'INDPRO__cid_ce__normalize_False', 'GDP__c3__lag_1', 'GDP__sum_values', 'GDP__fft_coefficient__attr_""real""__coeff_0']"
PRFI,0.0003306216418214353,0.00029931258365514373,0.0003052800622916007,0.0003018709799264559,0.000629934225476579,0.0006071510422180565,2.2783183258522468e-05,['PCEPI__longest_strike_below_mean']
PNFI,0.00011272454368594499,9.404182888722304e-05,9.698988026599061e-05,9.243563666907775e-05,0.00020676637257316803,0.00018942551693506836,1.7340855638099673e-05,"['UNRATE__fft_coefficient__attr_""angle""__coeff_0', 'GCE__fft_coefficient__attr_""angle""__coeff_0', 'EXPGS__fft_coefficient__attr_""angle""__coeff_0']"
EXPGS,0.00030537231345721227,0.0004467235197559758,0.0003575527559418474,0.00035075480164469306,0.000752095833213188,0.0007083075575865404,4.37882756266476e-05,"['PAYEMS__index_mass_quantile__q_0.2', 'CUMFNS__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2', 'PAYEMS__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6', 'EXPGS__change_quantiles__f_agg_""mean""__isabs_False__qh_0.4__ql_0.0', 'PRFI__fft_coefficient__attr_""angle""__coeff_0']"
HOUST,10.522076664972543,10.510800483320354,10.905371214554187,10.610149225877613,21.032877148292897,21.5155204404318,-0.4826432921389028,"['HOUST__last_location_of_maximum', 'HOUST__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0', 'PCEPI__quantile__q_0.4']"
