target,feature,mse_improvement,rmse_improvement,pct_improvement_mse,pct_improvement_rmse,combined_score
FEDFUNDS,FEDFUNDS_lag_3,0.002306959649660434,0.012178620135818857,12.255506529436978,6.28167460404078,9.26859056673888
FEDFUNDS,FEDFUNDS_lag_6,0.0017801000742368005,0.00926196464206136,9.456614503886751,4.777277509825918,7.116946006856335
FEDFUNDS,FEDFUNDS_lag_9,0.0016352529908035054,0.008523201285579318,8.687127973401513,4.39622686836939,6.541677420885451
GDP,GDP_lag_1,0.00029292772473102683,0.010094079879133994,50.86263181294548,29.79455597849781,40.328593895721646
GDP,GDP_lag_4,5.46324691151496e-05,0.001665403048958576,9.4861323358432,4.915747147150008,7.2009397414966045
GDP,GDP_lag_3,3.854201242336748e-05,0.0012101397282150983,6.692258948925879,3.5719526995859487,5.132105824255914
CPIAUCSL,CPIAUCSL_lag_3,7.847387883106027e-06,0.0006511067820089231,10.595217888685987,5.355572594757123,7.9753952417215555
CPIAUCSL,CPIAUCSL_lag_5,4.8973782500714595e-06,0.0004067340716891188,6.61223714384321,3.345524740152946,4.978880941998078
CPIAUCSL,CPIAUCSL_lag_4,4.528962385066571e-06,0.000367451152199846,6.114817311725708,3.0224094956615803,4.568613403693644
CUSR0000SAH1,CUSR0000SAH1_lag_4,2.0564253308034523e-05,0.002594482036835115,48.327676709759594,28.153604423203895,38.240640566481744
CUSR0000SAH1,CUSR0000SAH1_lag_9,1.7261262885096297e-05,0.0021063914962806424,40.56537914688994,22.857168446240646,31.711273796565294
CUSR0000SAH1,CUSR0000SAH1_lag_3,1.6469728000531353e-05,0.0020171928252417856,38.70520744832377,21.88924341771864,30.297225433021204
CPILFESL,CPILFESL_lag_1,4.801962448807019e-06,0.0006893733265664354,17.063035820385032,9.198121661565965,13.130578740975498
CPILFESL,CPILFESL_lag_10,4.92685878268048e-07,6.430095125538153e-05,1.75068357545655,0.8579501843322681,1.304316879894409
CPILFESL,CPILFESL_lag_9,-2.993257460344063e-07,-2.3160276955711337e-05,-1.0636080521240667,-0.3090213052124312,-0.686314678668249
PCE,PCE_lag_10,0.00011498781658060304,0.0019079160560596456,6.367984270972802,3.178131466044001,4.773057868508402
PCE,PCE_lag_4,7.005090714185024e-05,0.0011635544652011595,3.879394253338029,1.9382032278448418,2.9087987405914353
PCE,PCE_lag_5,6.539341965309305e-05,0.0011024189398664494,3.6214642573382485,1.8363660761828093,2.7289151667605287
PRFI,PRFI_lag_1,0.0032783293252896086,0.042350388289362204,71.12840885701229,45.08545445353462,58.106931655273456
PRFI,PRFI_lag_2,0.002505572534375735,0.029166940545960293,54.36225893206564,31.0505953463514,42.70642713920852
PRFI,PRFI_lag_5,0.0023252317745428496,0.026958927865469884,50.44948811919298,28.69998513567519,39.574736627434085
