relative_threshold,threshold,initial_mse_xgboost,final_mse_xgboost,improvement_xgboost,initial_mse_lightgbm,final_mse_lightgbm,improvement_lightgbm,aggregated_initial_mse,aggregated_final_mse
0.0001,1.1006908544877351e-07,0.0005121471232352867,0.00043989240078366444,7.225472245162224e-05,0.0005885437312524484,0.0004885972506286508,9.994648062379766e-05,0.001100690854487735,0.0009284896514123152
0.0002,2.2013817089754702e-07,0.0005121471232352867,0.00045043502570480363,6.171209753048305e-05,0.0005885437312524484,0.0004688329842491437,0.00011971074700330473,0.001100690854487735,0.0009192680099539474
0.00030000000000000003,3.3020725634632053e-07,0.0005121471232352867,0.0004318499621699618,8.029716106532488e-05,0.0005885437312524484,0.0004725964107119686,0.00011594732054047983,0.001100690854487735,0.0009044463728819304
0.0004,4.4027634179509404e-07,0.0005121471232352867,0.00044602323733796795,6.612388589731874e-05,0.0005885437312524484,0.0004653141125850987,0.0001232296186673497,0.001100690854487735,0.0009113373499230667
0.0005,5.503454272438675e-07,0.0005121471232352867,0.00042865637544746015,8.349074778782654e-05,0.0005885437312524484,0.0004929493908718156,9.559434038063281e-05,0.001100690854487735,0.0009216057663192758
0.0006000000000000001,6.604145126926411e-07,0.0005121471232352867,0.0004437294551514399,6.84176680838468e-05,0.0005885437312524484,0.00047872472842036345,0.00010981900283208498,0.001100690854487735,0.0009224541835718033
0.0007000000000000001,7.704835981414146e-07,0.0005121471232352867,0.00044647704861372256,6.567007462156412e-05,0.0005885437312524484,0.0004828035789196984,0.00010574015233275004,0.001100690854487735,0.0009292806275334209
0.0008,8.805526835901881e-07,0.0005121471232352867,0.00043587985612576394,7.626726710952274e-05,0.0005885437312524484,0.0004618363145986432,0.0001267074166538052,0.001100690854487735,0.0008977161707244072
0.0009000000000000001,9.906217690389616e-07,0.0005121471232352867,0.0004384769893746798,7.367013386060686e-05,0.0005885437312524484,0.0004724202068814204,0.00011612352437102803,0.001100690854487735,0.0009108971962561003
0.001,1.100690854487735e-06,0.0005121471232352867,0.0004295616213125131,8.258550192277356e-05,0.0005885437312524484,0.00048725160676356746,0.00010129212448888096,0.001100690854487735,0.0009168132280760806
0.0011,1.2107599399365086e-06,0.0005121471232352867,0.00045656069518820144,5.558642804708524e-05,0.0005885437312524484,0.00045465864856174807,0.00013388508269070035,0.001100690854487735,0.0009112193437499495
0.0012000000000000001,1.3208290253852821e-06,0.0005121471232352867,0.00045509656642828426,5.705055680700242e-05,0.0005885437312524484,0.0004813779753004848,0.00010716575595196362,0.001100690854487735,0.0009364745417287691
0.0013000000000000002,1.4308981108340556e-06,0.0005121471232352867,0.00045022466464162363,6.192245859366305e-05,0.0005885437312524484,0.0004665755847196718,0.0001219681465327766,0.001100690854487735,0.0009168002493612955
0.0014000000000000002,1.5409671962828291e-06,0.0005121471232352867,0.00043283602212522247,7.931110111006421e-05,0.0005885437312524484,0.00048180456419622426,0.00010673916705622417,0.001100690854487735,0.0009146405863214467
0.0015,1.6510362817316026e-06,0.0005121471232352867,0.0004569649386101415,5.518218462514517e-05,0.0005885437312524484,0.0004729847958900763,0.00011555893536237212,0.001100690854487735,0.0009299497345002178
0.0016,1.7611053671803761e-06,0.0005121471232352867,0.00044412603126125675,6.802109197402993e-05,0.0005885437312524484,0.0004585464186388727,0.00012999731261357573,0.001100690854487735,0.0009026724499001295
0.0017000000000000001,1.8711744526291497e-06,0.0005121471232352867,0.0004819060047818824,3.0241118453404282e-05,0.0005885437312524484,0.0004857087937513086,0.00010283493750113981,0.001100690854487735,0.0009676147985331911
0.0018000000000000002,1.981243538077923e-06,0.0005121471232352867,0.0004521133484414156,6.003377479387107e-05,0.0005885437312524484,0.00046060711282044914,0.00012793661843199929,0.001100690854487735,0.0009127204612618648
0.0019000000000000002,2.091312623526697e-06,0.0005121471232352867,0.00046801003254434925,4.413709069093743e-05,0.0005885437312524484,0.0004635065977335969,0.0001250371335188515,0.001100690854487735,0.0009315166302779462
0.002,2.20138170897547e-06,0.0005121471232352867,0.0004379700235202305,7.417709971505618e-05,0.0005885437312524484,0.00048619778341851637,0.00010234594783393205,0.001100690854487735,0.0009241678069387469
0.0021,2.3114507944242435e-06,0.0005121471232352867,0.0005027722108025109,9.374912432775747e-06,0.0005885437312524484,0.0004691978626180161,0.00011934586863443232,0.001100690854487735,0.000971970073420527
0.0022,2.421519879873017e-06,0.0005121471232352867,0.00044003063454211395,7.211648869317273e-05,0.0005885437312524484,0.000455771817082691,0.00013277191416975742,0.001100690854487735,0.000895802451624805
0.0023,2.5315889653217905e-06,0.0005121471232352867,0.0004488181675169354,6.332895571835127e-05,0.0005885437312524484,0.00046794507803766443,0.000120598653214784,0.001100690854487735,0.0009167632455545998
0.0024,2.641658050770564e-06,0.0005121471232352867,0.0004154497748667109,9.669734836857577e-05,0.0005885437312524484,0.00046706288873277766,0.00012148084251967077,0.001100690854487735,0.0008825126635994885
0.0025,2.7517271362193375e-06,0.0005121471232352867,0.0004505619395462178,6.158518368906891e-05,0.0005885437312524484,0.0004899578681294982,9.858586312295027e-05,0.001100690854487735,0.0009405198076757159
0.0026,2.861796221668111e-06,0.0005121471232352867,0.0004228353283308679,8.931179490441878e-05,0.0005885437312524484,0.00047109847775521677,0.00011744525349723165,0.001100690854487735,0.0008939338060860847
0.0027,2.9718653071168845e-06,0.0005121471232352867,0.00048301487017366157,2.9132253061625113e-05,0.0005885437312524484,0.00046558840085233257,0.00012295533040011585,0.001100690854487735,0.0009486032710259941
